p1	p2	n	r	p.value
protein104	protein253	2	NA	1
protein147	protein253	1	NA	1
protein147	protein254	2	NA	1
protein147	protein255	2	NA	1
protein147	protein256	2	NA	1
protein104	protein257	1	NA	1
protein147	protein257	0	NA	1
protein104	protein258	1	NA	1
protein147	protein258	0	NA	1
protein104	protein259	2	NA	1
protein147	protein259	1	NA	1
protein104	protein260	2	NA	1
protein147	protein260	1	NA	1
protein104	protein261	2	NA	1
protein147	protein261	1	NA	1
protein104	protein262	2	NA	1
protein147	protein262	1	NA	1
protein104	protein263	2	NA	1
protein147	protein263	2	NA	1
protein147	protein264	2	NA	1
protein104	protein265	1	NA	1
protein147	protein265	0	NA	1
protein153	protein253	3	-0.5	0.757
protein154	protein253	3	1	0
protein155	protein253	3	-0.5	0.757
protein156	protein253	3	-0.5	0.757
protein104	protein254	3	-0.997428073008836	0.976
protein104	protein255	3	-0.135635495633827	0.663
protein104	protein256	3	-0.135635495633827	0.663
protein118	protein257	3	-0.5	0.757
protein119	protein257	3	1	0
protein120	protein257	3	-0.5	0.757
protein133	protein257	3	1	0
protein134	protein257	3	1	0
protein148	protein257	3	1	0
protein180	protein257	3	1	0
protein190	protein257	3	1	0
protein194	protein257	3	-0.5	0.757
protein195	protein257	3	-0.5	0.757
protein223	protein257	3	-0.0450799654155783	0.638
protein224	protein257	3	-0.464982348178082	0.757
protein253	protein257	3	1	0
protein254	protein257	3	0.999999999985779	0
protein255	protein257	3	-0.5	0.757
protein256	protein257	3	-0.5	0.757
protein118	protein258	3	-0.5	0.757
protein119	protein258	3	1	0
protein120	protein258	3	-0.5	0.757
protein133	protein258	3	1	0
protein134	protein258	3	1	0
protein148	protein258	3	1	0
protein180	protein258	3	1	0
protein190	protein258	3	1	0
protein194	protein258	3	-0.5	0.757
protein195	protein258	3	-0.5	0.757
protein223	protein258	3	-0.0450799654155783	0.638
protein224	protein258	3	-0.464982348178082	0.757
protein253	protein258	3	1	0
protein254	protein258	3	0.999999999985779	0
protein255	protein258	3	-0.5	0.757
protein256	protein258	3	-0.5	0.757
protein153	protein259	3	-0.5	0.757
protein154	protein259	3	1	0
protein155	protein259	3	-0.5	0.757
protein156	protein259	3	-0.5	0.757
protein257	protein259	3	1	0
protein258	protein259	3	1	0
protein153	protein260	3	-0.5	0.757
protein154	protein260	3	1	0
protein155	protein260	3	-0.5	0.757
protein156	protein260	3	-0.5	0.757
protein257	protein260	3	1	0
protein258	protein260	3	1	0
protein153	protein261	3	-0.5	0.757
protein154	protein261	3	1	0
protein155	protein261	3	-0.5	0.757
protein156	protein261	3	-0.5	0.757
protein257	protein261	3	1	0
protein258	protein261	3	1	0
protein153	protein262	3	-0.5	0.757
protein154	protein262	3	-0.5	0.757
protein155	protein262	3	-0.5	0.757
protein156	protein262	3	1	0
protein257	protein262	3	-0.5	0.757
protein258	protein262	3	-0.5	0.757
protein257	protein263	3	1	0
protein258	protein263	3	1	0
protein104	protein264	3	-0.136421390635903	0.663
protein257	protein264	3	-0.5	0.757
protein258	protein264	3	-0.5	0.757
protein137	protein265	3	1	0
protein148	protein265	3	-0.5	0.757
protein149	protein265	3	1	0
protein177	protein265	3	-0.5	0.757
protein218	protein265	3	-0.840096321263471	0.884
protein253	protein265	3	-0.5	0.757
protein254	protein265	3	-0.500004618569037	0.776
protein255	protein265	3	-0.5	0.757
protein256	protein265	3	-0.5	0.757
protein257	protein265	3	-0.5	0.757
protein258	protein265	3	-0.5	0.757
protein259	protein265	3	-0.5	0.757
protein260	protein265	3	-0.5	0.757
protein261	protein265	3	-0.5	0.757
protein262	protein265	3	-0.5	0.757
protein263	protein265	3	-0.5	0.757
protein264	protein265	3	-0.5	0.757
protein265	protein2	3	0.600413602578711	0.451
protein265	protein30	3	1	0
protein265	protein31	3	-0.5	0.757
protein147	protein32	3	0.0135645306544013	0.621
protein265	protein32	3	-0.5	0.757
protein257	protein98	3	1	0
protein258	protein98	3	1	0
protein257	protein99	3	1	0
protein258	protein99	3	1	0
protein114	protein147	4	0.528038895318547	0.588
protein100	protein253	4	0.708983271059134	0.493
protein101	protein253	4	0.99999999997978	0.003
protein102	protein253	4	0.999999999979929	0.003
protein103	protein253	4	0.158626896580757	0.769
protein105	protein253	4	-0.351237426359758	0.963
protein106	protein253	4	0.265301700548704	0.731
protein107	protein253	4	0.726937276703576	0.486
protein108	protein253	4	0.305124706663788	0.718
protein109	protein253	4	0.0640294248763598	0.839
protein10	protein253	4	0.999963399177521	0.004
protein110	protein253	4	0.999999999828667	0.004
protein111	protein253	4	0.99999999999826	0
protein112	protein253	4	0.999999999998447	0
protein113	protein253	4	-0.233018516787883	0.937
protein114	protein253	4	-0.225754240871689	0.933
protein115	protein253	4	0.999999999876486	0.004
protein116	protein253	4	0.999999999845108	0.004
protein117	protein253	4	0.999999999960516	0.004
protein118	protein253	4	0.547944457422582	0.568
protein119	protein253	4	0.0373850065105317	0.847
protein11	protein253	4	0.999999999978861	0.003
protein120	protein253	4	0.999999999951935	0.004
protein121	protein253	4	0.999999999999933	0
protein122	protein253	4	0.999999999998859	0
protein123	protein253	4	0.214807628766637	0.751
protein124	protein253	4	0.99999999994617	0.004
protein125	protein253	4	0.999999999971545	0.003
protein126	protein253	4	-0.399229454186158	0.97
protein127	protein253	4	0.999999999978482	0.003
protein128	protein253	4	0.0703240623390309	0.839
protein129	protein253	4	0.0539221580798946	0.842
protein12	protein253	4	0.999999999977993	0.003
protein130	protein253	4	0.0447981690145599	0.844
protein131	protein253	4	0.999999999995975	0
protein132	protein253	4	0.999999999950289	0.004
protein133	protein253	4	0.999999999981763	0.003
protein134	protein253	4	0.999999999981763	0.003
protein135	protein253	4	0.999999999993907	0
protein136	protein253	4	0.999999999984297	0.003
protein137	protein253	4	0.999999999960397	0.004
protein138	protein253	4	0.999999999947161	0.004
protein139	protein253	4	0.999999999954264	0.004
protein13	protein253	4	0.999999999992189	0
protein140	protein253	4	0.999999999981029	0.003
protein141	protein253	4	0.999999999954987	0.004
protein142	protein253	4	0.999999999897499	0.004
protein143	protein253	4	0.999999999885866	0.004
