p1	p2	r
RAxML_bestTree.TrimmedAlignednerve227.fasta.phy154	RAxML_bestTree.TrimmedAlignedneurotoxin25.fasta.phy253	1
RAxML_bestTree.TrimmedAlignednerve158.fasta.phy98	RAxML_bestTree.TrimmedAlignedneurotoxin31.fasta.phy257	1
RAxML_bestTree.TrimmedAlignednerve159.fasta.phy99	RAxML_bestTree.TrimmedAlignedneurotoxin31.fasta.phy257	1
RAxML_bestTree.TrimmedAlignednerve186.fasta.phy119	RAxML_bestTree.TrimmedAlignedneurotoxin31.fasta.phy257	1
RAxML_bestTree.TrimmedAlignednerve205.fasta.phy133	RAxML_bestTree.TrimmedAlignedneurotoxin31.fasta.phy257	1
RAxML_bestTree.TrimmedAlignednerve206.fasta.phy134	RAxML_bestTree.TrimmedAlignedneurotoxin31.fasta.phy257	1
RAxML_bestTree.TrimmedAlignednerve220.fasta.phy148	RAxML_bestTree.TrimmedAlignedneurotoxin31.fasta.phy257	1
RAxML_bestTree.TrimmedAlignednerve267.fasta.phy180	RAxML_bestTree.TrimmedAlignedneurotoxin31.fasta.phy257	1
RAxML_bestTree.TrimmedAlignednerve27.fasta.phy190	RAxML_bestTree.TrimmedAlignedneurotoxin31.fasta.phy257	1
RAxML_bestTree.TrimmedAlignedneurotoxin25.fasta.phy253	RAxML_bestTree.TrimmedAlignedneurotoxin31.fasta.phy257	1
RAxML_bestTree.TrimmedAlignedneurotoxin28.fasta.phy254	RAxML_bestTree.TrimmedAlignedneurotoxin31.fasta.phy257	1
RAxML_bestTree.TrimmedAlignednerve158.fasta.phy98	RAxML_bestTree.TrimmedAlignedneurotoxin32.fasta.phy258	1
RAxML_bestTree.TrimmedAlignednerve159.fasta.phy99	RAxML_bestTree.TrimmedAlignedneurotoxin32.fasta.phy258	1
RAxML_bestTree.TrimmedAlignednerve186.fasta.phy119	RAxML_bestTree.TrimmedAlignedneurotoxin32.fasta.phy258	1
RAxML_bestTree.TrimmedAlignednerve205.fasta.phy133	RAxML_bestTree.TrimmedAlignedneurotoxin32.fasta.phy258	1
RAxML_bestTree.TrimmedAlignednerve206.fasta.phy134	RAxML_bestTree.TrimmedAlignedneurotoxin32.fasta.phy258	1
RAxML_bestTree.TrimmedAlignednerve220.fasta.phy148	RAxML_bestTree.TrimmedAlignedneurotoxin32.fasta.phy258	1
RAxML_bestTree.TrimmedAlignednerve267.fasta.phy180	RAxML_bestTree.TrimmedAlignedneurotoxin32.fasta.phy258	1
RAxML_bestTree.TrimmedAlignednerve27.fasta.phy190	RAxML_bestTree.TrimmedAlignedneurotoxin32.fasta.phy258	1
RAxML_bestTree.TrimmedAlignedneurotoxin25.fasta.phy253	RAxML_bestTree.TrimmedAlignedneurotoxin32.fasta.phy258	1
RAxML_bestTree.TrimmedAlignedneurotoxin28.fasta.phy254	RAxML_bestTree.TrimmedAlignedneurotoxin32.fasta.phy258	1
RAxML_bestTree.TrimmedAlignednerve227.fasta.phy154	RAxML_bestTree.TrimmedAlignedneurotoxin33.fasta.phy259	1
RAxML_bestTree.TrimmedAlignedneurotoxin31.fasta.phy257	RAxML_bestTree.TrimmedAlignedneurotoxin33.fasta.phy259	1
RAxML_bestTree.TrimmedAlignedneurotoxin32.fasta.phy258	RAxML_bestTree.TrimmedAlignedneurotoxin33.fasta.phy259	1
RAxML_bestTree.TrimmedAlignednerve227.fasta.phy154	RAxML_bestTree.TrimmedAlignedneurotoxin34.fasta.phy260	1
RAxML_bestTree.TrimmedAlignedneurotoxin31.fasta.phy257	RAxML_bestTree.TrimmedAlignedneurotoxin34.fasta.phy260	1
RAxML_bestTree.TrimmedAlignedneurotoxin32.fasta.phy258	RAxML_bestTree.TrimmedAlignedneurotoxin34.fasta.phy260	1
RAxML_bestTree.TrimmedAlignednerve227.fasta.phy154	RAxML_bestTree.TrimmedAlignedneurotoxin35.fasta.phy261	1
RAxML_bestTree.TrimmedAlignedneurotoxin31.fasta.phy257	RAxML_bestTree.TrimmedAlignedneurotoxin35.fasta.phy261	1
RAxML_bestTree.TrimmedAlignedneurotoxin32.fasta.phy258	RAxML_bestTree.TrimmedAlignedneurotoxin35.fasta.phy261	1
RAxML_bestTree.TrimmedAlignednerve229.fasta.phy156	RAxML_bestTree.TrimmedAlignedneurotoxin37.fasta.phy262	1
RAxML_bestTree.TrimmedAlignedneurotoxin31.fasta.phy257	RAxML_bestTree.TrimmedAlignedneurotoxin41.fasta.phy263	1
RAxML_bestTree.TrimmedAlignedneurotoxin32.fasta.phy258	RAxML_bestTree.TrimmedAlignedneurotoxin41.fasta.phy263	1
RAxML_bestTree.TrimmedAlignedmuscle41.fasta.phy30	RAxML_bestTree.TrimmedAlignedneurotoxin85.fasta.phy265	1
RAxML_bestTree.TrimmedAlignednerve209.fasta.phy137	RAxML_bestTree.TrimmedAlignedneurotoxin85.fasta.phy265	1
RAxML_bestTree.TrimmedAlignednerve221.fasta.phy149	RAxML_bestTree.TrimmedAlignedneurotoxin85.fasta.phy265	1
RAxML_bestTree.TrimmedAlignedmuscle12.fasta.phy3	RAxML_bestTree.TrimmedAlignedneurotoxin25.fasta.phy253	1
RAxML_bestTree.TrimmedAlignedmuscle15.fasta.phy5	RAxML_bestTree.TrimmedAlignedneurotoxin25.fasta.phy253	1
RAxML_bestTree.TrimmedAlignedmuscle17.fasta.phy7	RAxML_bestTree.TrimmedAlignedneurotoxin25.fasta.phy253	1
RAxML_bestTree.TrimmedAlignedmuscle18.fasta.phy8	RAxML_bestTree.TrimmedAlignedneurotoxin25.fasta.phy253	1
RAxML_bestTree.TrimmedAlignedmuscle19.fasta.phy9	RAxML_bestTree.TrimmedAlignedneurotoxin25.fasta.phy253	1
RAxML_bestTree.TrimmedAlignedmuscle20.fasta.phy11	RAxML_bestTree.TrimmedAlignedneurotoxin25.fasta.phy253	1
RAxML_bestTree.TrimmedAlignedmuscle21.fasta.phy12	RAxML_bestTree.TrimmedAlignedneurotoxin25.fasta.phy253	1
RAxML_bestTree.TrimmedAlignedmuscle23.fasta.phy13	RAxML_bestTree.TrimmedAlignedneurotoxin25.fasta.phy253	1
RAxML_bestTree.TrimmedAlignedmuscle24.fasta.phy14	RAxML_bestTree.TrimmedAlignedneurotoxin25.fasta.phy253	1
